Entity,Verificata
AroVChkNotaObblig,x
AroVLisDatiComp,x
AroVLisDocOrderByVers,x
AroWarnUnitaDoc,x
DecAmsFmtFirEidasCrypto,x
DecCampoAttribFascVettor,x
DecFmtFirCrypto,x
DecFmtFirEida,x
DecLinkTipoSerie,x
DecVLisUsoFmtFileStd,x
ElvLogElencoVerHist,x
FasIndRifSog,x
FasRifIndSog,x
FasVLisFascByUpdUd,x
FasVoceClassif,x
FasWarnFascicolo,x
FirCertifOcsp,x
FirOcsp,x
FirUrlDistribOcsp,x
LogJobHistory,x
LogVJobAll,x
LogVLisIniSchedJobHist,x
LogVLisIniSchedJobStrutHist,x
LogVVisLastSchedStrut,x
MonVLisDocIam,x
MonVRicContaByStatoConservNew,x
OrgVChkPartitionFascErr,x
OrgVChkPartitionUpdByAa,x
OrgVChkPartitionUpdErr,x
OrgVChkStrutPartitionFasc,x
OrgVChkStrutPartitionUpd,x
OrgVValSubPartition,x
SerLinkSerie,x
SerVLisVerserByUpdUd,x
SerVVisNotaSerie,x
SerVVisStatoSerie,x
SIDecUsoModelloComunic,x
VolContrVerifFirmaVolume,x
VolVerifFirmaVolume,x
VrsErrUpdUnitaDocKo,x
VrsUrnXmlSessioneVersKo,x
VrsVUnitaDocNonVer,x
VrsXmlSesUpdUnitaDocErr,x
VrsXmlSesUpdUnitaDocKo,x
